,date,open,high,low,close,volume,outstanding_share,turnover
0,2011-01-04,1.63,1.67,1.6,1.64,1224224.0,43800000.0,0.027950319634703197
1,2011-01-05,1.63,1.64,1.59,1.63,1183496.0,43800000.0,0.027020456621004565
2,2011-01-06,1.63,1.66,1.59,1.65,956138.0,43800000.0,0.021829634703196345
3,2011-01-07,1.64,1.66,1.58,1.61,1041170.0,43800000.0,0.023771004566210046
4,2011-01-11,1.55,1.55,1.45,1.45,1779768.0,43800000.0,0.040633972602739724
5,2011-01-12,1.46,1.51,1.42,1.47,1422145.0,43800000.0,0.03246906392694064
6,2011-01-13,1.48,1.5,1.46,1.47,673669.0,43800000.0,0.015380570776255707
7,2011-01-14,1.51,1.51,1.42,1.44,644741.0,43800000.0,0.014720114155251141
8,2011-01-17,1.49,1.49,1.32,1.36,1620428.0,43800000.0,0.03699607305936073
9,2011-01-18,1.36,1.39,1.32,1.35,844378.0,43800000.0,0.019278036529680364
10,2011-01-19,1.39,1.41,1.35,1.39,865651.0,43800000.0,0.019763721461187215
11,2011-01-20,1.39,1.4,1.33,1.34,731266.0,43800000.0,0.01669557077625571
12,2011-01-21,1.32,1.43,1.32,1.38,1200336.0,43800000.0,0.027404931506849316
13,2011-01-24,1.41,1.41,1.35,1.35,787211.0,43800000.0,0.01797285388127854
14,2011-01-25,1.35,1.38,1.33,1.36,840270.0,43800000.0,0.019184246575342467
15,2011-01-26,1.35,1.4,1.35,1.39,417791.0,43800000.0,0.009538607305936073
16,2011-01-27,1.39,1.41,1.38,1.4,558669.0,43800000.0,0.012755
17,2011-01-28,1.4,1.41,1.39,1.41,344918.0,43800000.0,0.007874840182648403
18,2011-01-31,1.41,1.42,1.39,1.41,507030.0,43800000.0,0.011576027397260274
19,2011-02-01,1.41,1.44,1.4,1.42,432547.0,43800000.0,0.009875502283105023
20,2011-02-09,1.42,1.42,1.35,1.35,699893.0,43800000.0,0.015979292237442922
21,2011-02-10,1.35,1.4,1.34,1.39,401173.0,43800000.0,0.009159200913242009
22,2011-02-11,1.39,1.46,1.39,1.45,641257.0,43800000.0,0.014640570776255708
23,2011-02-14,1.44,1.48,1.44,1.47,602162.0,43800000.0,0.013747990867579909
24,2011-02-15,1.47,1.5,1.46,1.47,599868.0,43800000.0,0.013695616438356165
25,2011-02-16,1.46,1.49,1.45,1.48,588294.0,43800000.0,0.013431369863013699
26,2011-02-17,1.47,1.51,1.46,1.47,799869.0,43800000.0,0.018261849315068492
27,2011-02-18,1.46,1.5,1.44,1.49,1184695.0,43800000.0,0.02704783105022831
28,2011-02-21,1.46,1.53,1.46,1.52,781593.0,43800000.0,0.01784458904109589
29,2011-02-22,1.53,1.54,1.46,1.47,752026.0,43800000.0,0.017169543378995435
30,2011-02-23,1.47,1.49,1.46,1.48,431268.0,43800000.0,0.009846301369863013
31,2011-02-24,1.48,1.51,1.47,1.5,510042.0,43800000.0,0.011644794520547945
32,2011-02-25,1.51,1.52,1.48,1.49,435581.0,43800000.0,0.009944771689497717
33,2011-02-28,1.49,1.49,1.46,1.49,781008.0,43800000.0,0.01783123287671233
34,2011-03-01,1.47,1.51,1.47,1.48,410611.0,43800000.0,0.009374680365296803
35,2011-03-02,1.47,1.49,1.46,1.49,404128.0,43800000.0,0.009226666666666666
36,2011-03-03,1.47,1.51,1.46,1.47,472730.0,43800000.0,0.010792922374429224
37,2011-03-04,1.47,1.48,1.41,1.42,1066824.0,43800000.0,0.024356712328767124
38,2011-03-07,1.41,1.44,1.41,1.41,734738.0,43800000.0,0.016774840182648403
39,2011-03-08,1.41,1.42,1.39,1.4,790865.0,43800000.0,0.018056278538812785
40,2011-03-09,1.42,1.44,1.4,1.42,567955.0,43800000.0,0.012967009132420092
41,2011-03-10,1.43,1.43,1.4,1.42,440369.0,43800000.0,0.010054086757990868
42,2011-03-11,1.41,1.45,1.4,1.43,504068.0,43800000.0,0.011508401826484018
43,2011-03-14,1.43,1.49,1.43,1.49,1143347.0,43800000.0,0.026103812785388127
44,2011-03-15,1.5,1.5,1.44,1.48,822641.0,43800000.0,0.01878175799086758
45,2011-03-16,1.49,1.5,1.47,1.48,576561.0,43800000.0,0.013163493150684932
46,2011-03-17,1.47,1.48,1.44,1.46,586838.0,43800000.0,0.01339812785388128
47,2011-03-18,1.45,1.48,1.42,1.43,671128.0,43800000.0,0.015322557077625571
48,2011-03-21,1.43,1.44,1.38,1.4,671614.0,43800000.0,0.015333652968036529
49,2011-03-22,1.4,1.4,1.36,1.36,596961.0,43800000.0,0.013629246575342466
50,2011-03-23,1.37,1.38,1.37,1.38,217008.0,43800000.0,0.004954520547945205
51,2011-03-24,1.39,1.39,1.35,1.37,343185.0,43800000.0,0.00783527397260274
52,2011-03-25,1.38,1.38,1.35,1.37,562441.0,43800000.0,0.012841118721461188
53,2011-03-28,1.37,1.37,1.33,1.33,725200.0,43800000.0,0.016557077625570776
54,2011-03-29,1.33,1.34,1.31,1.32,611167.0,43800000.0,0.013953584474885844
55,2011-03-30,1.32,1.32,1.25,1.27,780480.0,43800000.0,0.01781917808219178
56,2011-03-31,1.27,1.28,1.27,1.28,266346.0,43800000.0,0.006080958904109589
57,2011-04-01,1.29,1.29,1.27,1.28,215301.0,43800000.0,0.004915547945205479
58,2011-04-06,1.28,1.31,1.27,1.27,365004.0,43800000.0,0.008333424657534247
59,2011-04-08,1.3,1.33,1.28,1.31,853514.0,43800000.0,0.01948662100456621
60,2011-04-11,1.32,1.32,1.29,1.29,410739.0,43800000.0,0.009377602739726027
61,2011-04-12,1.29,1.31,1.27,1.3,721249.0,43800000.0,0.016466872146118722
62,2011-04-13,1.29,1.43,1.28,1.41,1548708.0,43800000.0,0.0353586301369863
63,2011-04-19,1.55,1.55,1.47,1.55,3231940.0,43800000.0,0.07378858447488584
64,2011-04-20,1.64,1.7,1.59,1.62,7075418.0,43800000.0,0.16153922374429225
65,2011-04-21,1.62,1.62,1.55,1.61,3007511.0,43800000.0,0.06866463470319635
66,2011-04-22,1.6,1.66,1.58,1.63,1828049.0,43800000.0,0.04173627853881279
67,2011-04-25,1.61,1.61,1.5,1.58,745506.0,43800000.0,0.01702068493150685
68,2011-04-26,1.56,1.59,1.53,1.58,822991.0,43800000.0,0.01878974885844749
69,2011-04-27,1.58,1.61,1.55,1.56,488977.0,43800000.0,0.011163858447488585
70,2011-04-28,1.56,1.57,1.47,1.55,975298.0,43800000.0,0.022267077625570775
71,2011-04-29,1.53,1.56,1.53,1.54,309500.0,43800000.0,0.007066210045662101
72,2011-05-03,1.53,1.6,1.52,1.58,483166.0,43800000.0,0.011031187214611873
73,2011-05-05,1.56,1.58,1.52,1.58,738322.0,43800000.0,0.016856666666666666
74,2011-05-06,1.56,1.63,1.56,1.58,1007143.0,43800000.0,0.022994132420091323
75,2011-05-09,1.58,1.63,1.57,1.61,620401.0,43800000.0,0.014164406392694064
76,2011-05-10,1.61,1.63,1.58,1.6,516926.0,43800000.0,0.011801963470319634
77,2011-05-11,1.59,1.6,1.57,1.58,341041.0,43800000.0,0.007786324200913242
78,2011-05-12,1.56,1.58,1.56,1.57,235753.0,43800000.0,0.0053824885844748855
79,2011-05-13,1.57,1.66,1.54,1.54,391948.0,43800000.0,0.008948584474885845
80,2011-05-16,1.53,1.54,1.51,1.51,622061.0,43800000.0,0.01420230593607306
81,2011-05-17,1.5,1.54,1.49,1.52,563569.0,43800000.0,0.012866872146118721
82,2011-05-18,1.52,1.54,1.51,1.53,301333.0,43800000.0,0.006879748858447488
83,2011-05-19,1.54,1.55,1.5,1.52,418325.0,43800000.0,0.00955079908675799
84,2011-05-20,1.51,1.53,1.48,1.51,572277.0,43800000.0,0.01306568493150685
85,2011-05-23,1.49,1.51,1.44,1.45,349944.0,43800000.0,0.00798958904109589
86,2011-05-24,1.44,1.52,1.43,1.43,535608.0,43800000.0,0.012228493150684932
87,2011-05-25,1.43,1.48,1.41,1.41,294230.0,43800000.0,0.006717579908675799
88,2011-05-26,1.41,1.43,1.35,1.36,494328.0,65700000.0,0.007524018264840182
89,2011-05-27,1.35,1.35,1.29,1.33,406864.0,65700000.0,0.00619275494672755
90,2011-05-30,1.31,1.35,1.31,1.32,320306.0,65700000.0,0.004875281582952816
91,2011-05-31,1.31,1.34,1.31,1.33,294114.0,65700000.0,0.00447662100456621
92,2011-06-01,1.33,1.39,1.31,1.39,837967.0,65700000.0,0.012754444444444445
93,2011-06-02,1.36,1.38,1.34,1.38,753152.0,65700000.0,0.011463500761035007
94,2011-06-03,1.39,1.42,1.36,1.38,187905.0,65700000.0,0.002860045662100457
95,2011-06-07,1.38,1.46,1.38,1.46,579225.0,65700000.0,0.0088162100456621
96,2011-06-08,1.46,1.5,1.42,1.49,652588.0,65700000.0,0.009932846270928462
97,2011-06-09,1.49,1.49,1.41,1.42,764141.0,65700000.0,0.01163076103500761
98,2011-06-10,1.42,1.45,1.4,1.45,387017.0,65700000.0,0.005890669710806697
99,2011-06-13,1.45,1.48,1.42,1.47,359016.0,65700000.0,0.005464474885844749
100,2011-06-14,1.48,1.52,1.48,1.48,507652.0,65700000.0,0.007726818873668189
101,2011-06-15,1.48,1.5,1.46,1.47,240256.0,65700000.0,0.0036568645357686453
102,2011-06-16,1.47,1.47,1.44,1.44,258502.0,65700000.0,0.003934581430745814
103,2011-06-17,1.46,1.46,1.41,1.41,178481.0,65700000.0,0.002716605783866058
104,2011-06-20,1.41,1.5,1.38,1.46,1052907.0,65700000.0,0.016025981735159817
105,2011-06-21,1.45,1.5,1.45,1.49,1125660.0,65700000.0,0.017133333333333334
106,2011-06-22,1.5,1.51,1.49,1.5,541127.0,65700000.0,0.008236331811263318
107,2011-06-23,1.49,1.57,1.46,1.55,1350284.0,65700000.0,0.02055226788432268
108,2011-06-24,1.55,1.64,1.53,1.58,1443750.0,65700000.0,0.021974885844748857
109,2011-06-27,1.56,1.62,1.56,1.57,1488090.0,65700000.0,0.02264977168949772
110,2011-06-28,1.56,1.59,1.55,1.58,543527.0,65700000.0,0.008272861491628616
111,2011-06-29,1.56,1.61,1.56,1.56,655500.0,65700000.0,0.00997716894977169
112,2011-06-30,1.58,1.62,1.57,1.6,1148214.0,65700000.0,0.01747662100456621
113,2011-07-01,1.68,1.68,1.63,1.65,1545259.0,65700000.0,0.023519923896499238
114,2011-07-04,1.68,1.73,1.66,1.71,2420496.0,65700000.0,0.03684164383561644
115,2011-07-05,1.7,1.76,1.68,1.71,1872619.0,65700000.0,0.028502572298325722
116,2011-07-06,1.69,1.75,1.68,1.75,1211484.0,65700000.0,0.018439634703196348
117,2011-07-07,1.75,1.8,1.73,1.75,2467227.0,65700000.0,0.037552922374429226
118,2011-07-08,1.75,1.79,1.7,1.78,1500839.0,65700000.0,0.022843820395738203
119,2011-07-11,1.77,1.92,1.77,1.85,3140772.0,65700000.0,0.04780474885844749
120,2011-07-12,1.83,1.88,1.79,1.85,1161468.0,65700000.0,0.01767835616438356
121,2011-07-13,1.84,1.95,1.81,1.94,1557411.0,65700000.0,0.02370488584474886
122,2011-07-14,1.96,1.98,1.8,1.89,4719029.0,65700000.0,0.07182692541856925
123,2011-07-15,1.86,1.87,1.81,1.83,3311287.0,65700000.0,0.05040010654490107
124,2011-07-18,1.83,1.91,1.82,1.89,2529816.0,65700000.0,0.03850557077625571
125,2011-07-19,1.87,1.87,1.82,1.82,2542851.0,65700000.0,0.03870397260273973
126,2011-07-20,1.85,1.85,1.79,1.81,891004.0,65700000.0,0.013561704718417047
127,2011-07-21,1.81,1.9,1.81,1.84,1599478.0,65700000.0,0.02434517503805175
128,2011-07-22,1.84,1.91,1.84,1.88,1695948.0,65700000.0,0.02581351598173516
129,2011-07-25,1.87,1.91,1.84,1.85,1336277.0,65700000.0,0.020339071537290716
130,2011-07-26,1.84,1.91,1.84,1.9,1119120.0,65700000.0,0.0170337899543379
131,2011-07-27,1.91,2.04,1.89,2.02,1795129.0,65700000.0,0.0273231202435312
132,2011-07-28,2.01,2.05,1.98,2.03,1268484.0,65700000.0,0.019307214611872146
133,2011-07-29,2.03,2.04,1.97,2.0,1037911.0,65700000.0,0.01579773211567732
134,2011-08-01,1.99,2.0,1.93,1.95,1381776.0,65700000.0,0.02103159817351598
135,2011-08-02,1.94,1.99,1.9,1.99,1184030.0,65700000.0,0.018021765601217658
136,2011-08-03,2.02,2.08,1.9,1.91,2076268.0,65700000.0,0.03160225266362253
137,2011-08-04,1.9,1.92,1.84,1.91,1379028.0,65700000.0,0.020989771689497717
138,2011-08-05,1.86,1.91,1.84,1.88,1005269.0,65700000.0,0.015300898021308981
139,2011-08-08,1.85,1.89,1.77,1.88,1052206.0,65700000.0,0.01601531202435312
140,2011-08-09,1.85,1.95,1.8,1.94,2100910.0,65700000.0,0.03197732115677321
141,2011-08-10,1.96,2.01,1.95,1.99,1678410.0,65700000.0,0.025546575342465752
142,2011-08-11,1.95,2.01,1.94,2.0,1469022.0,65700000.0,0.022359543378995435
143,2011-08-12,2.01,2.04,2.0,2.03,719156.0,65700000.0,0.010946057838660579
144,2011-08-15,2.03,2.05,1.91,1.94,2127400.0,65700000.0,0.032380517503805176
145,2011-08-16,1.94,1.94,1.89,1.91,1384854.0,65700000.0,0.021078447488584475
146,2011-08-17,1.9,1.9,1.86,1.89,1158886.0,65700000.0,0.017639056316590563
147,2011-08-18,1.89,1.89,1.83,1.86,1567274.0,65700000.0,0.023855007610350077
148,2011-08-19,1.83,1.89,1.82,1.89,666302.0,65700000.0,0.01014158295281583
149,2011-08-22,1.89,1.91,1.88,1.89,1182231.0,65700000.0,0.017994383561643835
150,2011-08-23,1.9,1.9,1.85,1.89,741610.0,65700000.0,0.011287823439878235
151,2011-08-24,1.86,1.92,1.86,1.91,578368.0,65700000.0,0.00880316590563166
152,2011-08-25,1.91,1.93,1.88,1.92,652533.0,65700000.0,0.00993200913242009
153,2011-08-26,1.92,1.93,1.89,1.9,424926.0,65700000.0,0.006467671232876712
154,2011-08-29,1.9,1.9,1.82,1.85,1377506.0,65700000.0,0.020966605783866058
155,2011-08-30,1.86,1.86,1.8,1.81,1155786.0,65700000.0,0.017591872146118723
156,2011-08-31,1.81,1.82,1.76,1.78,934297.0,65700000.0,0.014220654490106545
157,2011-09-01,1.77,1.82,1.77,1.79,335076.0,65700000.0,0.005100091324200913
158,2011-09-02,1.79,1.82,1.78,1.81,1037789.0,65700000.0,0.01579587519025875
159,2011-09-05,1.81,1.84,1.79,1.83,794844.0,65700000.0,0.012098082191780822
160,2011-09-06,1.83,1.83,1.79,1.81,290870.0,65700000.0,0.0044272450532724505
161,2011-09-07,1.82,1.9,1.81,1.89,603249.0,65700000.0,0.009181872146118722
162,2011-09-08,1.89,1.91,1.86,1.86,315581.0,65700000.0,0.004803363774733638
163,2011-09-09,1.86,1.9,1.85,1.88,415526.0,65700000.0,0.006324596651445967
164,2011-09-13,1.85,1.88,1.8,1.82,935651.0,65700000.0,0.014241263318112634
165,2011-09-14,1.82,1.83,1.79,1.81,498201.0,65700000.0,0.00758296803652968
166,2011-09-15,1.82,1.85,1.8,1.83,255737.0,65700000.0,0.0038924961948249618
167,2011-09-16,1.83,1.85,1.83,1.84,302818.0,65700000.0,0.00460910197869102
168,2011-09-19,1.85,1.85,1.82,1.84,327756.0,65700000.0,0.004988675799086758
169,2011-09-20,1.84,1.85,1.82,1.84,210038.0,65700000.0,0.003196925418569254
170,2011-09-21,1.84,1.9,1.84,1.88,992237.0,65700000.0,0.015102541856925418
171,2011-09-22,1.85,1.88,1.84,1.87,346767.0,65700000.0,0.005278036529680365
172,2011-09-23,1.85,1.86,1.81,1.83,683589.0,65700000.0,0.010404703196347032
173,2011-09-26,1.83,1.9,1.83,1.83,424911.0,65700000.0,0.006467442922374429
174,2011-09-27,1.83,1.84,1.65,1.68,5166591.0,65700000.0,0.07863913242009132
175,2011-09-28,1.68,1.69,1.58,1.61,2706027.0,65700000.0,0.04118762557077626
176,2011-09-29,1.61,1.64,1.56,1.63,1064378.0,65700000.0,0.016200578386605782
177,2011-09-30,1.62,1.63,1.57,1.62,536602.0,65700000.0,0.00816745814307458
178,2011-10-10,1.61,1.62,1.55,1.62,842149.0,65700000.0,0.012818097412480974
179,2011-10-11,1.63,1.68,1.61,1.63,702075.0,65700000.0,0.01068607305936073
180,2011-10-12,1.61,1.71,1.59,1.7,1215545.0,65700000.0,0.01850144596651446
181,2011-10-13,1.7,1.78,1.68,1.73,1170748.0,65700000.0,0.017819604261796042
182,2011-10-14,1.73,1.78,1.71,1.78,2097323.0,65700000.0,0.031922724505327245
183,2011-10-17,1.78,1.88,1.78,1.83,1448110.0,65700000.0,0.02204124809741248
184,2011-10-19,1.81,1.81,1.72,1.75,624636.0,65700000.0,0.009507397260273973
185,2011-10-20,1.72,1.75,1.64,1.67,865450.0,65700000.0,0.013172754946727549
186,2011-10-21,1.67,1.69,1.58,1.59,1077362.0,65700000.0,0.01639820395738204
187,2011-10-24,1.59,1.65,1.56,1.64,616146.0,65700000.0,0.009378173515981735
188,2011-10-25,1.64,1.69,1.62,1.68,1415057.0,65700000.0,0.021538158295281582
189,2011-10-26,1.67,1.71,1.62,1.69,2172729.0,65700000.0,0.033070456621004565
190,2011-10-27,1.7,1.74,1.69,1.69,1630790.0,65700000.0,0.024821765601217655
191,2011-10-28,1.7,1.73,1.69,1.7,570430.0,65700000.0,0.00868234398782344
192,2011-10-31,1.71,1.72,1.66,1.71,1076530.0,65700000.0,0.016385540334855404
193,2011-11-01,1.69,1.72,1.65,1.68,1543607.0,65700000.0,0.023494779299847793
194,2011-11-02,1.64,1.73,1.63,1.73,1736830.0,65700000.0,0.026435768645357686
195,2011-11-03,1.73,1.77,1.71,1.73,1836384.0,65700000.0,0.0279510502283105
196,2011-11-04,1.74,1.8,1.73,1.76,1087699.0,65700000.0,0.016555540334855404
197,2011-11-07,1.75,1.77,1.73,1.74,291548.0,65700000.0,0.004437564687975647
198,2011-11-08,1.72,1.75,1.69,1.69,856818.0,65700000.0,0.0130413698630137
199,2011-11-09,1.68,1.72,1.68,1.71,271958.0,65700000.0,0.004139391171993911
200,2011-11-10,1.69,1.75,1.69,1.72,565751.0,65700000.0,0.008611126331811263
201,2011-11-11,1.71,1.75,1.68,1.74,745865.0,65700000.0,0.011352587519025875
202,2011-11-14,1.74,1.8,1.74,1.78,1432303.0,65700000.0,0.021800654490106545
203,2011-11-15,1.78,1.8,1.77,1.79,2140721.0,65700000.0,0.032583272450532726
204,2011-11-16,1.79,1.81,1.77,1.78,782343.0,65700000.0,0.011907808219178083
205,2011-11-17,1.76,1.8,1.76,1.79,961772.0,65700000.0,0.014638843226788432
206,2011-11-18,1.79,1.8,1.77,1.79,945265.0,65700000.0,0.01438759512937595
207,2011-11-21,1.75,1.77,1.68,1.72,1035063.0,65700000.0,0.015754383561643836
208,2011-11-22,1.69,1.69,1.63,1.65,3427964.0,65700000.0,0.05217601217656012
209,2011-11-23,1.63,1.67,1.62,1.64,1563264.0,65700000.0,0.023793972602739726
210,2011-11-24,1.62,1.64,1.6,1.6,1405012.0,65700000.0,0.021385266362252662
211,2011-11-25,1.6,1.64,1.6,1.63,911720.0,65700000.0,0.013877016742770167
212,2011-11-28,1.61,1.66,1.61,1.66,586519.0,65700000.0,0.008927229832572298
213,2011-11-29,1.66,1.68,1.64,1.67,234138.0,65700000.0,0.0035637442922374428
214,2011-11-30,1.66,1.68,1.6,1.62,518668.0,65700000.0,0.007894490106544902
