date,open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2023-06-06 00:00:00+00:00,9.84,9.91,9.67,9.84,9.87,10.21,9.81,10.07,10.1,10.27,10.01,10.22,10.1
2023-06-07 00:00:00+00:00,9.87,10.21,9.81,10.07,10.1,10.27,10.01,10.22,10.21,10.51,10.05,10.1,10.29
2023-06-08 00:00:00+00:00,10.1,10.27,10.01,10.22,10.21,10.51,10.05,10.1,10.1,10.45,10.09,10.29,10.47
2023-06-09 00:00:00+00:00,10.21,10.51,10.05,10.1,10.1,10.45,10.09,10.29,10.33,10.84,10.3,10.47,11.52
2023-06-12 00:00:00+00:00,10.1,10.45,10.09,10.29,10.33,10.84,10.3,10.47,10.37,11.52,10.33,11.52,12.67
2023-06-13 00:00:00+00:00,10.33,10.84,10.3,10.47,10.37,11.52,10.33,11.52,11.61,12.67,11.52,12.67,13.02
2023-06-14 00:00:00+00:00,10.37,11.52,10.33,11.52,11.61,12.67,11.52,12.67,12.92,13.89,12.44,13.02,13.44
2023-06-15 00:00:00+00:00,11.61,12.67,11.52,12.67,12.92,13.89,12.44,13.02,12.82,13.62,12.77,13.44,14.22
2023-06-16 00:00:00+00:00,12.92,13.89,12.44,13.02,12.82,13.62,12.77,13.44,13.15,14.56,13.13,14.22,15.65
2023-06-19 00:00:00+00:00,12.82,13.62,12.77,13.44,13.15,14.56,13.13,14.22,13.93,15.65,13.69,15.65,16.33
2023-06-20 00:00:00+00:00,13.15,14.56,13.13,14.22,13.93,15.65,13.69,15.65,17.21,17.21,15.43,16.33,17.11
2023-06-21 00:00:00+00:00,13.93,15.65,13.69,15.65,17.21,17.21,15.43,16.33,16.01,17.74,15.69,17.11,15.77
2023-06-26 00:00:00+00:00,17.21,17.21,15.43,16.33,16.01,17.74,15.69,17.11,16.75,17.19,15.47,15.77,14.95
2023-06-27 00:00:00+00:00,16.01,17.74,15.69,17.11,16.75,17.19,15.47,15.77,15.56,15.98,14.46,14.95,15.77
2023-06-28 00:00:00+00:00,16.75,17.19,15.47,15.77,15.56,15.98,14.46,14.95,15.04,16.26,14.86,15.77,14.19
