date,open(t-9),high(t-9),low(t-9),close(t-9),open(t-8),high(t-8),low(t-8),close(t-8),open(t-7),high(t-7),low(t-7),close(t-7),open(t-6),high(t-6),low(t-6),close(t-6),open(t-5),high(t-5),low(t-5),close(t-5),open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2020-01-16 00:00:00+00:00,8.39,8.66,8.39,8.6,8.48,8.78,8.41,8.71,8.62,8.78,8.6,8.68,8.75,8.84,8.69,8.8,8.76,8.83,8.6,8.66,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.85
2020-01-17 00:00:00+00:00,8.48,8.78,8.41,8.71,8.62,8.78,8.6,8.68,8.75,8.84,8.69,8.8,8.76,8.83,8.6,8.66,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.96
2020-01-20 00:00:00+00:00,8.62,8.78,8.6,8.68,8.75,8.84,8.69,8.8,8.76,8.83,8.6,8.66,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,9.01
2020-01-21 00:00:00+00:00,8.75,8.84,8.69,8.8,8.76,8.83,8.6,8.66,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.75
2020-01-22 00:00:00+00:00,8.76,8.83,8.6,8.66,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.62
2020-01-23 00:00:00+00:00,8.73,8.99,8.73,8.95,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.71,8.74,8.43,8.62,8.19
2020-02-03 00:00:00+00:00,9.09,9.14,8.82,8.91,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.71,8.74,8.43,8.62,8.54,8.59,8.07,8.19,7.37
2020-02-04 00:00:00+00:00,8.89,8.98,8.8,8.97,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.71,8.74,8.43,8.62,8.54,8.59,8.07,8.19,7.37,7.37,7.37,7.37,7.2
2020-02-05 00:00:00+00:00,8.97,8.99,8.74,8.77,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.71,8.74,8.43,8.62,8.54,8.59,8.07,8.19,7.37,7.37,7.37,7.37,6.71,7.35,6.71,7.2,7.53
2020-02-06 00:00:00+00:00,8.77,8.97,8.72,8.94,8.94,8.98,8.79,8.85,8.86,9.08,8.84,8.96,8.96,9.02,8.77,9.01,8.99,9.0,8.75,8.75,8.71,8.74,8.43,8.62,8.54,8.59,8.07,8.19,7.37,7.37,7.37,7.37,6.71,7.35,6.71,7.2,7.2,7.7,7.19,7.53,8.06
