date,open(t-9),high(t-9),low(t-9),close(t-9),open(t-8),high(t-8),low(t-8),close(t-8),open(t-7),high(t-7),low(t-7),close(t-7),open(t-6),high(t-6),low(t-6),close(t-6),open(t-5),high(t-5),low(t-5),close(t-5),open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2020-01-16 00:00:00+00:00,13.71,13.95,13.65,13.94,14.08,14.79,13.97,14.59,15.33,16.05,15.11,16.05,15.51,15.76,15.27,15.63,16.32,17.11,15.78,16.88,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.49
2020-01-17 00:00:00+00:00,14.08,14.79,13.97,14.59,15.33,16.05,15.11,16.05,15.51,15.76,15.27,15.63,16.32,17.11,15.78,16.88,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.57
2020-01-20 00:00:00+00:00,15.33,16.05,15.11,16.05,15.51,15.76,15.27,15.63,16.32,17.11,15.78,16.88,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.55
2020-01-21 00:00:00+00:00,15.51,15.76,15.27,15.63,16.32,17.11,15.78,16.88,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.65
2020-01-22 00:00:00+00:00,16.32,17.11,15.78,16.88,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,13.87
2020-01-23 00:00:00+00:00,15.21,15.7,15.19,15.29,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,14.26,14.26,13.48,13.87,13.42
2020-02-03 00:00:00+00:00,15.01,15.25,14.87,15.23,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,14.26,14.26,13.48,13.87,14.0,14.02,13.13,13.42,12.53
2020-02-04 00:00:00+00:00,15.08,15.16,14.84,15.04,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,14.26,14.26,13.48,13.87,14.0,14.02,13.13,13.42,12.2,13.33,12.19,12.53,12.65
2020-02-05 00:00:00+00:00,14.7,14.96,14.62,14.88,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,14.26,14.26,13.48,13.87,14.0,14.02,13.13,13.42,12.2,13.33,12.19,12.53,12.4,12.9,12.36,12.65,13.27
2020-02-06 00:00:00+00:00,14.89,14.96,14.67,14.8,14.85,14.89,14.48,14.49,14.41,14.69,14.27,14.57,14.42,14.63,14.32,14.55,14.56,14.85,14.56,14.65,14.26,14.26,13.48,13.87,14.0,14.02,13.13,13.42,12.2,13.33,12.19,12.53,12.4,12.9,12.36,12.65,12.36,13.46,12.32,13.27,13.23
