date,open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2011-01-07 00:00:00+00:00,7.43,7.52,7.37,7.49,7.45,7.53,7.4,7.45,7.42,7.52,7.3,7.3,7.3
2011-01-10 00:00:00+00:00,7.45,7.53,7.4,7.45,7.42,7.52,7.3,7.3,7.29,7.39,7.25,7.3,7.1
2011-01-11 00:00:00+00:00,7.42,7.52,7.3,7.3,7.29,7.39,7.25,7.3,7.29,7.38,7.08,7.1,7.08
2011-01-12 00:00:00+00:00,7.29,7.39,7.25,7.3,7.29,7.38,7.08,7.1,7.04,7.11,7.0,7.08,7.13
2011-01-13 00:00:00+00:00,7.29,7.38,7.08,7.1,7.04,7.11,7.0,7.08,7.1,7.14,7.02,7.13,7.11
2011-01-14 00:00:00+00:00,7.04,7.11,7.0,7.08,7.1,7.14,7.02,7.13,7.15,7.18,7.11,7.11,6.84
2011-01-17 00:00:00+00:00,7.1,7.14,7.02,7.13,7.15,7.18,7.11,7.11,7.11,7.11,6.83,6.84,6.54
2011-01-18 00:00:00+00:00,7.15,7.18,7.11,7.11,7.11,7.11,6.83,6.84,6.81,6.81,6.51,6.54,6.59
2011-01-19 00:00:00+00:00,7.11,7.11,6.83,6.84,6.81,6.81,6.51,6.54,6.51,6.61,6.51,6.59,6.72
2011-01-20 00:00:00+00:00,6.81,6.81,6.51,6.54,6.51,6.61,6.51,6.59,6.6,6.74,6.55,6.72,6.34
2011-01-21 00:00:00+00:00,6.51,6.61,6.51,6.59,6.6,6.74,6.55,6.72,6.67,6.71,6.34,6.34,6.33
2011-01-24 00:00:00+00:00,6.6,6.74,6.55,6.72,6.67,6.71,6.34,6.34,6.31,6.47,6.31,6.33,6.19
2011-01-25 00:00:00+00:00,6.67,6.71,6.34,6.34,6.31,6.47,6.31,6.33,6.35,6.39,6.16,6.19,6.21
2011-01-26 00:00:00+00:00,6.31,6.47,6.31,6.33,6.35,6.39,6.16,6.19,6.24,6.24,6.14,6.21,6.28
2011-01-27 00:00:00+00:00,6.35,6.39,6.16,6.19,6.24,6.24,6.14,6.21,6.23,6.34,6.23,6.28,6.37
2011-01-28 00:00:00+00:00,6.24,6.24,6.14,6.21,6.23,6.34,6.23,6.28,6.24,6.43,6.17,6.37,6.41
2011-01-31 00:00:00+00:00,6.23,6.34,6.23,6.28,6.24,6.43,6.17,6.37,6.39,6.42,6.3,6.41,6.45
2011-02-01 00:00:00+00:00,6.24,6.43,6.17,6.37,6.39,6.42,6.3,6.41,6.39,6.52,6.34,6.45,6.48
2011-02-09 00:00:00+00:00,6.39,6.42,6.3,6.41,6.39,6.52,6.34,6.45,6.42,6.52,6.42,6.48,6.36
2011-02-10 00:00:00+00:00,6.39,6.52,6.34,6.45,6.42,6.52,6.42,6.48,6.45,6.48,6.35,6.36,6.53
2011-02-11 00:00:00+00:00,6.42,6.52,6.42,6.48,6.45,6.48,6.35,6.36,6.36,6.53,6.31,6.53,6.6
2011-02-14 00:00:00+00:00,6.45,6.48,6.35,6.36,6.36,6.53,6.31,6.53,6.53,6.63,6.51,6.6,6.73
2011-02-15 00:00:00+00:00,6.36,6.53,6.31,6.53,6.53,6.63,6.51,6.6,6.61,6.75,6.61,6.73,6.68
2011-02-16 00:00:00+00:00,6.53,6.63,6.51,6.6,6.61,6.75,6.61,6.73,6.75,6.82,6.68,6.68,6.8
2011-02-17 00:00:00+00:00,6.61,6.75,6.61,6.73,6.75,6.82,6.68,6.68,6.68,6.8,6.66,6.8,6.76
2011-02-18 00:00:00+00:00,6.75,6.82,6.68,6.68,6.68,6.8,6.66,6.8,6.8,6.84,6.69,6.76,6.66
2011-02-21 00:00:00+00:00,6.68,6.8,6.66,6.8,6.8,6.84,6.69,6.76,6.76,6.84,6.62,6.66,6.8
2011-02-22 00:00:00+00:00,6.8,6.84,6.69,6.76,6.76,6.84,6.62,6.66,6.62,6.82,6.62,6.8,6.6
2011-02-23 00:00:00+00:00,6.76,6.84,6.62,6.66,6.62,6.82,6.62,6.8,6.8,6.81,6.6,6.6,6.68
2011-02-24 00:00:00+00:00,6.62,6.82,6.62,6.8,6.8,6.81,6.6,6.6,6.64,6.73,6.6,6.68,6.72
2011-02-25 00:00:00+00:00,6.8,6.81,6.6,6.6,6.64,6.73,6.6,6.68,6.65,6.74,6.64,6.72,6.7
2011-02-28 00:00:00+00:00,6.64,6.73,6.6,6.68,6.65,6.74,6.64,6.72,6.72,6.73,6.63,6.7,6.85
2011-03-01 00:00:00+00:00,6.65,6.74,6.64,6.72,6.72,6.73,6.63,6.7,6.7,6.86,6.67,6.85,7.37
2011-03-02 00:00:00+00:00,6.72,6.73,6.63,6.7,6.7,6.86,6.67,6.85,6.85,7.38,6.79,7.37,7.36
2011-03-03 00:00:00+00:00,6.7,6.86,6.67,6.85,6.85,7.38,6.79,7.37,7.25,7.37,7.1,7.36,7.32
2011-03-04 00:00:00+00:00,6.85,7.38,6.79,7.37,7.25,7.37,7.1,7.36,7.29,7.68,7.15,7.32,7.14
2011-03-07 00:00:00+00:00,7.25,7.37,7.1,7.36,7.29,7.68,7.15,7.32,7.22,7.32,7.0,7.14,7.15
2011-03-08 00:00:00+00:00,7.29,7.68,7.15,7.32,7.22,7.32,7.0,7.14,7.13,7.18,7.08,7.15,7.18
2011-03-09 00:00:00+00:00,7.22,7.32,7.0,7.14,7.13,7.18,7.08,7.15,7.16,7.19,7.06,7.18,7.23
2011-03-10 00:00:00+00:00,7.13,7.18,7.08,7.15,7.16,7.19,7.06,7.18,7.15,7.29,7.12,7.23,7.08
2011-03-11 00:00:00+00:00,7.16,7.19,7.06,7.18,7.15,7.29,7.12,7.23,7.23,7.23,7.06,7.08,7.06
2011-03-14 00:00:00+00:00,7.15,7.29,7.12,7.23,7.23,7.23,7.06,7.08,7.08,7.14,7.04,7.06,7.11
2011-03-15 00:00:00+00:00,7.23,7.23,7.06,7.08,7.08,7.14,7.04,7.06,7.1,7.13,7.01,7.11,6.85
2011-03-16 00:00:00+00:00,7.08,7.14,7.04,7.06,7.1,7.13,7.01,7.11,7.11,7.11,6.74,6.85,6.93
2011-03-17 00:00:00+00:00,7.1,7.13,7.01,7.11,7.11,7.11,6.74,6.85,6.84,6.93,6.82,6.93,6.76
2011-03-18 00:00:00+00:00,7.11,7.11,6.74,6.85,6.84,6.93,6.82,6.93,6.84,6.9,6.74,6.76,6.83
2011-03-21 00:00:00+00:00,6.84,6.93,6.82,6.93,6.84,6.9,6.74,6.76,6.81,6.86,6.74,6.83,6.88
2011-03-22 00:00:00+00:00,6.84,6.9,6.74,6.76,6.81,6.86,6.74,6.83,6.78,6.88,6.78,6.88,6.83
2011-03-24 00:00:00+00:00,6.81,6.86,6.74,6.83,6.78,6.88,6.78,6.88,6.91,6.91,6.72,6.83,7.0
2011-03-25 00:00:00+00:00,6.78,6.88,6.78,6.88,6.91,6.91,6.72,6.83,6.85,7.1,6.85,7.0,7.02
2011-03-28 00:00:00+00:00,6.91,6.91,6.72,6.83,6.85,7.1,6.85,7.0,6.99,7.04,6.94,7.02,6.96
2011-03-29 00:00:00+00:00,6.85,7.1,6.85,7.0,6.99,7.04,6.94,7.02,7.05,7.08,6.95,6.96,6.65
2011-03-30 00:00:00+00:00,6.99,7.04,6.94,7.02,7.05,7.08,6.95,6.96,6.98,6.98,6.61,6.65,6.58
2011-03-31 00:00:00+00:00,7.05,7.08,6.95,6.96,6.98,6.98,6.61,6.65,6.67,6.71,6.56,6.58,6.57
2011-04-01 00:00:00+00:00,6.98,6.98,6.61,6.65,6.67,6.71,6.56,6.58,6.58,6.7,6.56,6.57,6.63
2011-04-06 00:00:00+00:00,6.67,6.71,6.56,6.58,6.58,6.7,6.56,6.57,6.66,6.67,6.57,6.63,6.62
2011-04-07 00:00:00+00:00,6.58,6.7,6.56,6.57,6.66,6.67,6.57,6.63,6.63,6.67,6.56,6.62,6.68
2011-04-08 00:00:00+00:00,6.66,6.67,6.57,6.63,6.63,6.67,6.56,6.62,6.62,6.73,6.62,6.68,6.73
2011-04-11 00:00:00+00:00,6.63,6.67,6.56,6.62,6.62,6.73,6.62,6.68,6.66,6.74,6.63,6.73,6.61
2011-04-12 00:00:00+00:00,6.62,6.73,6.62,6.68,6.66,6.74,6.63,6.73,6.77,6.79,6.6,6.61,6.6
2011-04-13 00:00:00+00:00,6.66,6.74,6.63,6.73,6.77,6.79,6.6,6.61,6.57,6.68,6.4,6.6,6.69
2011-04-14 00:00:00+00:00,6.77,6.79,6.6,6.61,6.57,6.68,6.4,6.6,6.6,6.7,6.58,6.69,6.76
2011-04-15 00:00:00+00:00,6.57,6.68,6.4,6.6,6.6,6.7,6.58,6.69,6.68,6.76,6.63,6.76,6.76
2011-04-18 00:00:00+00:00,6.6,6.7,6.58,6.69,6.68,6.76,6.63,6.76,6.82,6.92,6.73,6.76,6.76
2011-04-19 00:00:00+00:00,6.68,6.76,6.63,6.76,6.82,6.92,6.73,6.76,6.72,6.77,6.6,6.76,6.78
2011-04-20 00:00:00+00:00,6.82,6.92,6.73,6.76,6.72,6.77,6.6,6.76,6.78,6.8,6.65,6.78,6.88
2011-04-21 00:00:00+00:00,6.72,6.77,6.6,6.76,6.78,6.8,6.65,6.78,6.81,6.92,6.81,6.88,6.83
2011-04-22 00:00:00+00:00,6.78,6.8,6.65,6.78,6.81,6.92,6.81,6.88,6.93,6.93,6.82,6.83,7.08
2011-04-25 00:00:00+00:00,6.81,6.92,6.81,6.88,6.93,6.93,6.82,6.83,6.79,7.09,6.75,7.08,7.25
2011-04-26 00:00:00+00:00,6.93,6.93,6.82,6.83,6.79,7.09,6.75,7.08,7.13,7.29,6.93,7.25,6.91
2011-04-27 00:00:00+00:00,6.79,7.09,6.75,7.08,7.13,7.29,6.93,7.25,7.26,7.26,6.81,6.91,6.42
2011-04-28 00:00:00+00:00,7.13,7.29,6.93,7.25,7.26,7.26,6.81,6.91,6.85,6.85,6.25,6.42,6.47
2011-04-29 00:00:00+00:00,7.26,7.26,6.81,6.91,6.85,6.85,6.25,6.42,6.43,6.73,6.26,6.47,6.45
2011-05-04 00:00:00+00:00,6.85,6.85,6.25,6.42,6.43,6.73,6.26,6.47,6.53,6.55,6.38,6.45,6.02
2011-05-05 00:00:00+00:00,6.43,6.73,6.26,6.47,6.53,6.55,6.38,6.45,6.47,6.48,5.97,6.02,5.98
2011-05-06 00:00:00+00:00,6.53,6.55,6.38,6.45,6.47,6.48,5.97,6.02,5.97,6.02,5.92,5.98,6.01
2011-05-09 00:00:00+00:00,6.47,6.48,5.97,6.02,5.97,6.02,5.92,5.98,5.94,6.03,5.92,6.01,6.03
2011-05-10 00:00:00+00:00,5.97,6.02,5.92,5.98,5.94,6.03,5.92,6.01,6.04,6.07,5.98,6.03,6.1
2011-05-11 00:00:00+00:00,5.94,6.03,5.92,6.01,6.04,6.07,5.98,6.03,6.03,6.12,5.99,6.1,6.1
2011-05-12 00:00:00+00:00,6.04,6.07,5.98,6.03,6.03,6.12,5.99,6.1,6.09,6.14,6.06,6.1,5.98
2011-05-13 00:00:00+00:00,6.03,6.12,5.99,6.1,6.09,6.14,6.06,6.1,6.1,6.1,5.98,5.98,6.06
2011-05-16 00:00:00+00:00,6.09,6.14,6.06,6.1,6.1,6.1,5.98,5.98,6.02,6.08,5.97,6.06,6.13
2011-05-17 00:00:00+00:00,6.1,6.1,5.98,5.98,6.02,6.08,5.97,6.06,6.07,6.15,6.07,6.13,6.15
2011-05-18 00:00:00+00:00,6.02,6.08,5.97,6.06,6.07,6.15,6.07,6.13,6.13,6.17,6.07,6.15,6.11
2011-05-19 00:00:00+00:00,6.07,6.15,6.07,6.13,6.13,6.17,6.07,6.15,6.15,6.16,6.08,6.11,6.02
2011-05-20 00:00:00+00:00,6.13,6.17,6.07,6.15,6.15,6.16,6.08,6.11,6.12,6.14,6.01,6.02,5.98
2011-05-23 00:00:00+00:00,6.15,6.16,6.08,6.11,6.12,6.14,6.01,6.02,6.06,6.06,5.97,5.98,5.72
2011-05-24 00:00:00+00:00,6.12,6.14,6.01,6.02,6.06,6.06,5.97,5.98,5.98,5.98,5.7,5.72,5.8
2011-05-25 00:00:00+00:00,6.06,6.06,5.97,5.98,5.98,5.98,5.7,5.72,5.75,5.8,5.69,5.8,5.72
2011-05-26 00:00:00+00:00,5.98,5.98,5.7,5.72,5.75,5.8,5.69,5.8,5.78,5.81,5.71,5.72,5.69
2011-05-27 00:00:00+00:00,5.75,5.8,5.69,5.8,5.78,5.81,5.71,5.72,5.69,5.82,5.69,5.69,5.56
2011-05-30 00:00:00+00:00,5.78,5.81,5.71,5.72,5.69,5.82,5.69,5.69,5.71,5.73,5.55,5.56,5.58
2011-05-31 00:00:00+00:00,5.69,5.82,5.69,5.69,5.71,5.73,5.55,5.56,5.56,5.66,5.51,5.58,5.67
2011-06-01 00:00:00+00:00,5.71,5.73,5.55,5.56,5.56,5.66,5.51,5.58,5.58,5.68,5.51,5.67,5.7
2011-06-02 00:00:00+00:00,5.56,5.66,5.51,5.58,5.58,5.68,5.51,5.67,5.67,5.7,5.62,5.7,5.55
2011-06-03 00:00:00+00:00,5.58,5.68,5.51,5.67,5.67,5.7,5.62,5.7,5.65,5.65,5.48,5.55,5.6
2011-06-07 00:00:00+00:00,5.67,5.7,5.62,5.7,5.65,5.65,5.48,5.55,5.55,5.66,5.55,5.6,5.65
2011-06-08 00:00:00+00:00,5.65,5.65,5.48,5.55,5.55,5.66,5.55,5.6,5.68,5.68,5.59,5.65,5.76
2011-06-09 00:00:00+00:00,5.55,5.66,5.55,5.6,5.68,5.68,5.59,5.65,5.65,5.76,5.59,5.76,5.64
2011-06-10 00:00:00+00:00,5.68,5.68,5.59,5.65,5.65,5.76,5.59,5.76,5.71,5.77,5.64,5.64,5.6
2011-06-13 00:00:00+00:00,5.65,5.76,5.59,5.76,5.71,5.77,5.64,5.64,5.65,5.65,5.51,5.6,5.63
2011-06-14 00:00:00+00:00,5.71,5.77,5.64,5.64,5.65,5.65,5.51,5.6,5.6,5.64,5.51,5.63,5.67
2011-06-15 00:00:00+00:00,5.65,5.65,5.51,5.6,5.6,5.64,5.51,5.63,5.55,5.72,5.55,5.67,5.62
2011-06-16 00:00:00+00:00,5.6,5.64,5.51,5.63,5.55,5.72,5.55,5.67,5.67,5.72,5.6,5.62,5.56
2011-06-17 00:00:00+00:00,5.55,5.72,5.55,5.67,5.67,5.72,5.6,5.62,5.56,5.6,5.51,5.56,5.5
2011-06-20 00:00:00+00:00,5.67,5.72,5.6,5.62,5.56,5.6,5.51,5.56,5.55,5.62,5.5,5.5,5.39
2011-06-21 00:00:00+00:00,5.56,5.6,5.51,5.56,5.55,5.62,5.5,5.5,5.51,5.51,5.34,5.39,5.48
2011-06-22 00:00:00+00:00,5.55,5.62,5.5,5.5,5.51,5.51,5.34,5.39,5.46,5.48,5.39,5.48,5.55
2011-06-23 00:00:00+00:00,5.51,5.51,5.34,5.39,5.46,5.48,5.39,5.48,5.49,5.56,5.46,5.55,5.71
2011-06-24 00:00:00+00:00,5.46,5.48,5.39,5.48,5.49,5.56,5.46,5.55,5.56,5.75,5.54,5.71,5.79
2011-06-27 00:00:00+00:00,5.49,5.56,5.46,5.55,5.56,5.75,5.54,5.71,5.71,5.91,5.7,5.79,5.77
2011-06-28 00:00:00+00:00,5.56,5.75,5.54,5.71,5.71,5.91,5.7,5.79,5.79,5.84,5.73,5.77,5.78
2011-06-30 00:00:00+00:00,5.71,5.91,5.7,5.79,5.79,5.84,5.73,5.77,5.78,5.78,5.71,5.78,5.87
2011-07-01 00:00:00+00:00,5.79,5.84,5.73,5.77,5.78,5.78,5.71,5.78,5.76,5.87,5.69,5.87,5.84
2011-07-04 00:00:00+00:00,5.78,5.78,5.71,5.78,5.76,5.87,5.69,5.87,5.81,5.92,5.81,5.84,5.93
