date,open(t-4),high(t-4),low(t-4),close(t-4),open(t-3),high(t-3),low(t-3),close(t-3),open(t-2),high(t-2),low(t-2),close(t-2),open(t-1),high(t-1),low(t-1),close(t-1),open(t+0),high(t+0),low(t+0),close(t+0),close(t+1)
2018-01-09 00:00:00+00:00,24.59,25.42,24.32,24.86,24.6,24.66,23.62,23.88,23.55,25.07,23.25,25.07,24.82,25.14,23.9,23.98,23.54,24.43,23.44,23.89,23.13
2018-01-10 00:00:00+00:00,24.6,24.66,23.62,23.88,23.55,25.07,23.25,25.07,24.82,25.14,23.9,23.98,23.54,24.43,23.44,23.89,23.93,23.99,22.88,23.13,22.53
2018-01-11 00:00:00+00:00,23.55,25.07,23.25,25.07,24.82,25.14,23.9,23.98,23.54,24.43,23.44,23.89,23.93,23.99,22.88,23.13,23.14,23.79,22.28,22.53,22.69
2018-01-12 00:00:00+00:00,24.82,25.14,23.9,23.98,23.54,24.43,23.44,23.89,23.93,23.99,22.88,23.13,23.14,23.79,22.28,22.53,22.12,23.31,21.69,22.69,22.83
2018-01-15 00:00:00+00:00,23.54,24.43,23.44,23.89,23.93,23.99,22.88,23.13,23.14,23.79,22.28,22.53,22.12,23.31,21.69,22.69,22.45,23.13,22.33,22.83,25.12
2018-01-16 00:00:00+00:00,23.93,23.99,22.88,23.13,23.14,23.79,22.28,22.53,22.12,23.31,21.69,22.69,22.45,23.13,22.33,22.83,23.31,25.12,22.97,25.12,27.64
2018-01-17 00:00:00+00:00,23.14,23.79,22.28,22.53,22.12,23.31,21.69,22.69,22.45,23.13,22.33,22.83,23.31,25.12,22.97,25.12,27.27,27.64,26.55,27.64,26.89
2018-01-18 00:00:00+00:00,22.12,23.31,21.69,22.69,22.45,23.13,22.33,22.83,23.31,25.12,22.97,25.12,27.27,27.64,26.55,27.64,30.4,30.4,26.72,26.89,27.45
2018-01-19 00:00:00+00:00,22.45,23.13,22.33,22.83,23.31,25.12,22.97,25.12,27.27,27.64,26.55,27.64,30.4,30.4,26.72,26.89,25.92,28.42,25.92,27.45,26.75
2018-01-22 00:00:00+00:00,23.31,25.12,22.97,25.12,27.27,27.64,26.55,27.64,30.4,30.4,26.72,26.89,25.92,28.42,25.92,27.45,26.08,29.2,25.79,26.75,24.08
2018-01-23 00:00:00+00:00,27.27,27.64,26.55,27.64,30.4,30.4,26.72,26.89,25.92,28.42,25.92,27.45,26.08,29.2,25.79,26.75,25.04,25.34,24.08,24.08,23.64
2018-01-24 00:00:00+00:00,30.4,30.4,26.72,26.89,25.92,28.42,25.92,27.45,26.08,29.2,25.79,26.75,25.04,25.34,24.08,24.08,23.02,24.02,23.02,23.64,24.2
2018-01-25 00:00:00+00:00,25.92,28.42,25.92,27.45,26.08,29.2,25.79,26.75,25.04,25.34,24.08,24.08,23.02,24.02,23.02,23.64,23.91,24.4,23.46,24.2,26.61
2018-01-26 00:00:00+00:00,26.08,29.2,25.79,26.75,25.04,25.34,24.08,24.08,23.02,24.02,23.02,23.64,23.91,24.4,23.46,24.2,24.21,26.61,23.93,26.61,25.35
2018-01-29 00:00:00+00:00,25.04,25.34,24.08,24.08,23.02,24.02,23.02,23.64,23.91,24.4,23.46,24.2,24.21,26.61,23.93,26.61,25.4,26.36,25.08,25.35,26.62
2018-01-30 00:00:00+00:00,23.02,24.02,23.02,23.64,23.91,24.4,23.46,24.2,24.21,26.61,23.93,26.61,25.4,26.36,25.08,25.35,25.35,27.16,25.34,26.62,26.75
2018-01-31 00:00:00+00:00,23.91,24.4,23.46,24.2,24.21,26.61,23.93,26.61,25.4,26.36,25.08,25.35,25.35,27.16,25.34,26.62,26.64,28.0,25.91,26.75,25.95
2018-02-01 00:00:00+00:00,24.21,26.61,23.93,26.61,25.4,26.36,25.08,25.35,25.35,27.16,25.34,26.62,26.64,28.0,25.91,26.75,26.18,28.0,25.92,25.95,26.97
2018-02-02 00:00:00+00:00,25.4,26.36,25.08,25.35,25.35,27.16,25.34,26.62,26.64,28.0,25.91,26.75,26.18,28.0,25.92,25.95,24.7,28.0,24.66,26.97,27.32
2018-02-05 00:00:00+00:00,25.35,27.16,25.34,26.62,26.64,28.0,25.91,26.75,26.18,28.0,25.92,25.95,24.7,28.0,24.66,26.97,25.62,29.09,25.62,27.32,24.59
2018-02-06 00:00:00+00:00,26.64,28.0,25.91,26.75,26.18,28.0,25.92,25.95,24.7,28.0,24.66,26.97,25.62,29.09,25.62,27.32,26.46,27.27,24.59,24.59,22.13
2018-02-07 00:00:00+00:00,26.18,28.0,25.92,25.95,24.7,28.0,24.66,26.97,25.62,29.09,25.62,27.32,26.46,27.27,24.59,24.59,22.13,22.7,22.13,22.13,20.51
2018-02-08 00:00:00+00:00,24.7,28.0,24.66,26.97,25.62,29.09,25.62,27.32,26.46,27.27,24.59,24.59,22.13,22.7,22.13,22.13,20.87,22.57,19.91,20.51,20.35
