,date,open,high,low,close,volume,outstanding_share,turnover
0,2023-01-03,18.53,19.76,18.42,19.65,42160513.0,771463242.0,0.054650060695957306
1,2023-01-04,19.5,19.89,19.41,19.71,31825188.0,771463242.0,0.0412530192851366
2,2023-01-05,19.71,19.72,19.38,19.44,24322251.0,771463242.0,0.03152742694123073
3,2023-01-06,19.38,19.52,19.16,19.18,24392215.0,771463242.0,0.03161811693939398
4,2023-01-09,19.52,19.69,19.29,19.3,22399652.0,771463242.0,0.029035280983614253
5,2023-01-10,19.22,20.28,19.18,20.08,50361655.0,771463242.0,0.06528069291990972
6,2023-01-11,20.06,20.16,19.67,19.69,28553528.0,771463242.0,0.03701216914233744
7,2023-01-12,19.7,20.62,19.62,20.22,48494708.0,771463242.0,0.06286068520164179
8,2023-01-13,20.16,20.29,19.9,20.05,25084101.0,771463242.0,0.03251496589127185
9,2023-01-16,20.12,20.39,20.02,20.02,25902155.0,771463242.0,0.033575358604059066
10,2023-01-17,19.9,19.9,19.35,19.47,30737616.0,771463242.0,0.03984326708854393
11,2023-01-18,19.5,19.86,19.26,19.57,23650226.0,771463242.0,0.030656322573046197
12,2023-01-19,19.52,20.32,19.48,20.13,35800798.0,771463242.0,0.04640635619551657
13,2023-01-20,20.12,21.1,20.05,20.52,44070032.0,771463242.0,0.057125251860023166
14,2023-01-30,20.87,20.97,20.35,20.59,38067988.0,771463242.0,0.0493451741152432
15,2023-01-31,20.4,20.56,20.2,20.3,23925136.0,771463242.0,0.03101267137235814
16,2023-02-01,20.4,20.87,20.31,20.86,32153552.0,771463242.0,0.04167865719258728
17,2023-02-02,21.25,23.22,21.25,22.27,91151433.0,771463242.0,0.11815395476742624
18,2023-02-03,22.01,23.41,21.75,23.21,83780817.0,771463242.0,0.10859988193708392
19,2023-02-06,25.0,27.85,24.8,27.28,179799116.0,771463242.0,0.233062453544611
20,2023-02-07,27.0,27.58,25.97,26.85,149941808.0,771463242.0,0.19436027517173657
21,2023-02-08,26.34,26.45,24.23,24.38,134630643.0,771463242.0,0.17451336067674889
22,2023-02-09,24.1,24.76,23.83,24.6,78345206.0,771463242.0,0.10155403619347038
23,2023-02-10,24.69,25.45,23.95,24.45,78179745.0,771463242.0,0.10133955935129312
24,2023-02-13,24.1,25.16,23.96,24.92,62527075.0,771463242.0,0.08104997308478373
25,2023-02-14,25.05,25.41,24.63,24.93,51639363.0,771463242.0,0.06693690663229292
26,2023-02-15,24.6,26.93,24.58,26.3,98456255.0,771463242.0,0.12762274291222808
27,2023-02-16,26.29,26.7,24.64,25.06,82448331.0,771463242.0,0.10687266289739829
28,2023-02-17,24.9,25.31,23.82,23.87,60107692.0,771463242.0,0.0779138768091818
29,2023-02-20,24.1,24.87,23.75,24.8,45957457.0,771463242.0,0.05957180394085451
30,2023-02-21,24.7,25.29,24.41,24.74,43197746.0,771463242.0,0.05599456156590284
31,2023-02-22,24.4,25.6,24.03,25.25,60595352.0,771463242.0,0.07854600025129907
32,2023-02-23,24.9,24.96,24.0,24.15,47984560.0,771463242.0,0.06219941195850262
33,2023-02-24,24.15,24.48,23.86,24.02,32725300.0,771463242.0,0.042419778698931196
34,2023-02-27,23.76,23.96,23.19,23.4,39213083.0,771463242.0,0.05082948981255545
35,2023-02-28,23.78,24.05,23.5,23.8,36765815.0,771463242.0,0.04765724793923493
36,2023-03-01,23.55,24.55,23.51,24.51,51568339.0,771463242.0,0.06684484262180829
37,2023-03-02,24.42,24.68,24.25,24.36,37077389.0,771463242.0,0.048061122010010164
38,2023-03-03,24.02,24.61,23.82,24.18,37414138.0,771463242.0,0.048497628873418186
39,2023-03-06,24.08,24.15,23.63,23.8,32648320.0,771463242.0,0.042319994294686046
40,2023-03-07,23.76,24.48,23.21,23.35,55210144.0,771463242.0,0.07156548879356717
41,2023-03-08,22.88,23.51,22.8,23.45,31981449.0,771463242.0,0.041455570737354716
42,2023-03-09,23.47,23.78,22.89,23.25,30529614.0,771463242.0,0.03957364698394794
43,2023-03-10,23.0,23.38,22.66,22.66,33092845.0,771463242.0,0.04289620450898943
44,2023-03-13,22.9,23.06,22.3,23.04,38811978.0,771463242.0,0.0503095622539071
45,2023-03-14,22.84,22.89,21.96,22.38,47666107.0,771463242.0,0.06178662106625684
46,2023-03-15,22.63,22.7,21.84,21.9,34487536.0,771463242.0,0.04470405603589341
47,2023-03-16,21.8,21.93,21.34,21.4,32816858.0,771463242.0,0.04253845966130944
48,2023-03-17,21.66,23.38,21.65,23.01,78381361.0,771463242.0,0.1016009016797718
49,2023-03-20,23.84,25.13,23.13,23.2,98400778.0,771463242.0,0.12755083151453636
50,2023-03-21,23.03,24.45,22.7,24.12,74002964.0,771463242.0,0.09592545693836181
51,2023-03-22,24.32,25.9,23.91,25.48,108947642.0,771463242.0,0.14122207782389715
52,2023-03-23,24.9,25.54,24.58,25.34,87596681.0,771463242.0,0.11354615000567973
53,2023-03-24,25.6,27.5,25.2,26.5,133123868.0,771463242.0,0.17256022160547735
54,2023-03-27,28.0,28.87,26.89,27.34,161565761.0,771463242.0,0.20942768521432678
55,2023-03-28,27.45,28.15,26.35,26.35,115886715.0,771463242.0,0.15021676820215887
56,2023-03-29,25.85,26.65,25.4,25.56,93266060.0,771463242.0,0.1208950147232031
57,2023-03-30,25.55,25.76,24.88,25.12,53348964.0,771463242.0,0.06915295648007037
58,2023-03-31,25.12,26.13,24.92,26.05,61394235.0,771463242.0,0.0795815427846399
