,date,open,high,low,close,volume,outstanding_share,turnover
0,2023-05-04,21.65,21.86,21.41,21.53,3819308.0,492815758.0,0.007749971339187575
1,2023-05-05,21.61,21.61,20.86,20.95,4529888.0,496083758.0,0.009131296735580687
2,2023-05-08,20.95,21.46,20.94,21.24,2987100.0,496083758.0,0.006021362223271982
3,2023-05-09,21.2,21.66,20.98,21.1,3714505.0,496083758.0,0.007487656953284087
4,2023-05-10,21.11,22.21,21.08,21.64,7953475.0,496083758.0,0.01603252449155975
5,2023-05-11,21.63,21.79,21.37,21.7,3443916.0,496083758.0,0.006942206723083242
6,2023-05-12,21.65,21.87,21.17,21.21,3492100.0,496083758.0,0.007039335482537608
7,2023-05-15,21.1,21.71,21.02,21.63,5077585.0,496083758.0,0.010235338122075749
8,2023-05-16,21.92,21.92,20.75,20.81,8843640.0,496083758.0,0.017826908979350218
9,2023-05-17,20.73,21.25,20.73,21.08,4196205.0,496083758.0,0.008458662337419239
10,2023-05-18,21.17,21.28,20.44,20.57,6789608.0,496083758.0,0.01368641462355637
11,2023-05-19,20.67,20.68,20.11,20.25,5319409.0,496083758.0,0.010722804192271096
12,2023-05-22,20.25,20.68,20.02,20.61,4733743.0,496083758.0,0.009542225327199687
13,2023-05-23,20.54,20.77,20.31,20.55,3356103.0,496083758.0,0.006765194275923059
14,2023-05-24,20.49,20.62,20.21,20.37,3498542.0,496083758.0,0.0070523211929063
15,2023-05-25,20.28,20.4,19.83,19.97,5223097.0,496083758.0,0.010528659557525768
16,2023-05-26,20.0,20.04,19.41,19.78,4460336.0,496083758.0,0.008991094604633277
17,2023-05-29,19.82,19.89,19.32,19.42,4334934.0,496083758.0,0.008738310678576984
18,2023-05-30,19.51,19.51,18.99,19.44,5038700.0,496083758.0,0.010156954181112295
19,2023-05-31,19.57,19.58,18.92,19.0,4884000.0,496083758.0,0.009845111679709539
20,2023-06-01,18.97,19.4,18.84,19.24,4620321.0,496083758.0,0.009313590548957258
21,2023-06-02,19.24,20.3,19.24,20.24,7398160.0,496083758.0,0.01491312682726452
22,2023-06-05,20.42,20.85,20.0,20.31,6702145.0,496083758.0,0.013510107702417461
23,2023-06-06,20.35,21.21,20.2,20.71,9187445.0,496083758.0,0.018519947190046886
